72,"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.” –Maya Angelou"
73,“The question isn‘t who is going to let me; it’s who is going to stop me.” –Ayn Rand
74,"“Winning isn't everything, but wanting to win is.” –Vince Lombardi"
75,"“Whether you think you can or you think you can‘t, you’re right.” –Henry Ford"
76,“You miss 100% of the shots you don't take.” –Wayne Gretzky
77,"“I alone cannot change the world, but I can cast a stone across the water to create many ripples.” –Mother Teresa"
78,“You become what you believe.” –Oprah Winfrey
79,“The most difficult thing is the decision to act; the rest is merely tenacity.” –Amelia Earhart
80,“How wonderful it is that nobody need wait a single moment before starting to improve the world.” –Anne Frank
81,“An unexamined life is not worth living.” –Socrates
82,“Everything you've ever wanted is on the other side of fear.” –George Addair
83,“Dream big and dare to fail.” –Norman Vaughan
84,“Courage is grace under pressure.” –Ernest Hemingway
85,"""It is still best to be honest and truthful; to make the most of what we have; to be happy with simple pleasures; and have courage when things go wrong.” –Laura Ingalls Wilder"
86,"“Nothing is impossible, the word itself says, ‘I‘m possible!’” –Audrey Hepburn"
87,“It does not matter how slowly you go as long as you do not stop.” –Confucius
88,"“Don't find fault, find a remedy: anyone can complain.” –Henry Ford"
89,"“A man may die, nations may rise and fall, but an idea lives on.” –John F. Kennedy"
90,"“I have learned over the years that when one's mind is made up, this diminishes fear.” –Rosa Parks"
91,“I didn't fail the test. I just found 100 ways to do it wrong.” –Benjamin Franklin
92,"“If you‘re offered a seat on a rocket ship, don’t ask what seat! Just get on.” –Sheryl Sandberg"
93,“With great power comes great responsibility.” –Stan Lee
94,“I would rather die of passion than of boredom.” –Vincent van Gogh
95,"“If you look at what you have in life, you‘ll always have more. If you look at what you don’t have in life, you'll never have enough.” –Oprah Winfrey"
96,"“Dreaming, after all, is a form of planning.” –Gloria Steinem"
97,"“Whatever the mind of man can conceive and believe, it can achieve.” –Napoleon Hill"
98,"“First, have a definite, clear, practical ideal; a goal, an objective. Second, have the necessary means to achieve your ends: wisdom, money, materials, and methods. Third, adjust all your means to that end.” –Aristotle"
99,"“Twenty years from now, you will be more disappointed by the things that you didn't do than by the ones you did do. So, throw off the bowlines, sail away from safe harbor, catch the trade winds in your sails. Explore, Dream, Discover.” –Mark Twain"
100,"“The biggest risk is not taking any risk… In a world that is changing really quickly, the only strategy that is guaranteed to fail is not taking risks.” –Mark Zuckerberg"
101,“Doing the best at this moment puts you in the best place for the next moment.” –Oprah Winfrey
102,“You don’t learn to walk by following rules. You learn by doing and by falling over.”– Richard Branson
103,"“It’s fine to celebrate success, but it is more important to heed the lessons of failure.”– Bill Gates"
104,“High expectations are the key to everything.”– Sam Walton
105,“Don’t you dare underestimate the power of your own instinct.” –Barbara Corcoran
106,"“Luck is a dividend of sweat. The more you sweat, the luckier you get.” –Ray Kroc"
107,“The difference between successful people and unsuccessful people is that successful people do all the things unsuccessful people don’t want to do.” –John Paul DeJoria
108,“Don’t be afraid to give up the good to go for the great.” –John D. Rockefeller
109,“The price of inaction is far greater than the cost of a mistake.” –Meg Whitman
110,“Don’t watch the clock; do what it does. Keep going.” –Sam Levenson
111,“Time is money.” –Benjamin Franklin
112,“Time waits for no one.” –Unknown Author
113,"“There is never enough time to do everything, but there is always enough time to do the most important thing.” –Brian Tracy"
114,“All great achievements require time.” –Maya Angelou
115,"“You may delay, but time will not.” –Benjamin Franklin"
116,"“Time is more valuable than money. You can get more money, but you cannot get more time.” –Jim Rohn"
117,"“The trouble is, you think you have time.” –Jack Kornfield"
118,“Either you run the day or the day runs you.” –Jim Rohn
119,“Never leave till tomorrow that which you can do today.” –Benjamin Franklin
120,"“Lack of direction, not lack of time, is the problem. We all have twenty-four-hour days.” –Zig Ziglar"
121,“A goal is a dream with a deadline.” –Napoleon Hill
